STATE,APC,PDP,LP,NNPP
EKITI,"201,494","89,554","11,397",264
KWARA,"263,572","136,909","31,166","3,142"
OSUN,"343,945","354,366","23,283",713
ONDO,"369,924","115,463","44,405",930
OGUN,"341,554","123,831",85.829,"2,200"
OYO,"449,884","182,977","99,110","4,095"
YOBE,"151,459","198,567","2,406","18,270"
ENUGU,"4,772","15,749","428,640","1,808"
LAGOS,"572,606","75,750","582,454","8, 442"
GOMBE,"146,977","319,123","26, 160","10,520"
ADAMAWA,"182,881","417,611","105,648","8,006"
KATSINA,"482,283","489,045","6,376","69,386"
JIGAWA,"421,390","386,587","1,889","98,234"
NASARAWA,"172,922","147,093","191,361","12,715"
NIGER,"375, 183","284, 898","80,452","21,836"
BENUE,"310,468","130,081","308,372","4,740"
FCT,"90,902","74,194","281,717","4,517"
AKWA IBOM,"160,620","214,012","132,683","7,796"
EDO,"144,471","89,585","331,163","2,743"
ABIA,"8,914","22,676","327,095","1,239"
KOGI,"240,751","145,104","56,217",4238
BAUCHI,"316,694","426,607","27,373","72,103"
PLATEAU,"307,195","243,808","466,272","8,869"
BAYELSA,"42, 572","68,818","49,975",540
KADUNA,"399,293","554,360","294,494",92969
KEBBI,"248,088","285,175","10,682","5,038"
KANO,"517,341","131,716","28,513","997,279"
ZAMFARA,"298,396","193,978","1,660","4,044"
SOKOTO,"285,444","288,679","6,568","1,300"
CROSS RIVER,"130,520","95,425","179,917","1,644"
DELTA,"90,183","161,600","341,866","3,122"
EBONYI,"42,402","13,503","259,738","2,661"
ANAMBRA,"5,111","9,036","584,621","1,967"
TARABA,"135,165","189,017","146,315","12,818"
BORNO,"252,282","190,921",7205,4626
RIVERS,"231,591","88,468","175,071","1,322"
IMO,66406,"30,234","360,495","1,552"
AGGREGATE,"8,794,726","6,984,520","6,101,533","1,496,671"
